H1,H2,H3,Pdeficit,f_drop_real,t_nadir_real
21.009,7.6931,4.0718,19.59,-0.593388077711643,5.81973333333333
16.375,5.6579,8.4349,27.322,-0.852464574650216,5.54413333333333
14.14,7.7743,8.5767,30.166,-0.943761353903969,5.5468
17.562,3.745,8.2635,29.869,-0.943904700623184,5.43413333333333
15.269,6.1761,5.8096,30.785,-1.0105820576512,5.1432
19.568,4.3176,7.7575,33.947,-1.04993762847143,5.6852
20.611,4.4713,7.7743,28.563,-0.865640233908916,5.8288
22.044,5.3215,7.7568,35.426,-1.05055282773916,6.09053333333333
20.928,8.7326,5.4818,28.003,-0.828274770768472,6.0928
19.035,5.4337,5.1609,26.259,-0.827377926138796,5.44093333333333
16.252,7.402,5.4526,21.633,-0.685366660666953,5.37626666666667
16.941,5.1998,8.4716,21.166,-0.657851900416958,5.56093333333333
20.515,8.0075,5.8553,11.824,-0.351067194184583,6.0052
22.589,8.9883,4.1092,20.551,-0.60288789498826,6.15413333333333
15.541,3.9824,4.2558,24.544,-0.840179542792495,4.68426666666667
13.722,8.0459,4.5421,29.045,-0.963467050502135,5.0208
16.239,6.3015,4.5502,21.258,-0.691699669545087,5.12146666666667
20.09,8.0474,6.3317,20.903,-0.621568744736961,6.01493333333333
17.391,4.6185,7.0306,19.637,-0.621616756584231,5.3672
20.95,4.7498,6.2287,24.878,-0.761126984355439,5.71813333333333
12.785,8.5812,6.4782,14.927,-0.481011264920019,5.21706666666667
20.164,3.3216,8.3496,14.349,-0.438052454040304,5.70693333333333
16.377,4.1279,6.4381,22.744,-0.740796566779813,5.102
12.215,8.3995,5.2268,38.484,-1.45358465398602,4.95893333333333
19.512,7.6276,7.2549,18.178,-0.540431770668919,6.006
14.06,7.5857,7.7569,28.72,-0.909859495172656,5.41173333333333
15.835,3.7456,8.7352,40,-1.40828276997589,5.27626666666667
16.275,7.4533,5.3466,25.528,-0.80987555529392,5.37106666666667
13.206,5.6495,7.1021,23.963,-0.793441115496533,4.97386666666667
18.209,6.0027,7.5294,28.281,-0.868566980471521,5.69533333333333
12.362,6.0849,5.7781,27.165,-0.931479492147456,4.7436
23.72,4.3951,6.567,12.261,-0.362016110745751,6.03866666666667
16.11,5.9991,7.4621,13.242,-0.416098537686915,5.43213333333333
18.113,8.0419,3.7835,35.258,-1.12517764462372,5.47706666666667
19.969,8.1859,7.0327,12.196,-0.358942460085695,6.096
20.816,3.2969,6.8823,25.47,-0.787828945775383,5.60506666666667
16.594,6.3049,6.8398,28.108,-0.884672221903396,5.45213333333333
15.399,8.6371,5.896,25.348,-0.795847946150202,5.47573333333333
18.813,8.7501,4.2076,22.536,-0.690937912235802,5.69786666666667
17.447,8.6617,5.6644,17.248,-0.528295271753388,5.69813333333333
18.362,6.2993,8.8554,22.23,-0.668124142787334,5.9032
20.802,5.0367,7.9491,30.841,-0.925773672580795,5.93426666666667
17.616,8.81,6.1431,24.078,-0.732075152456616,5.7916
22.429,3.8671,8.5648,28.493,-0.844465424186002,6.05733333333333
19.852,7.8866,6.7771,23.138,-0.688043805911649,6.01773333333333
14.766,3.0717,3.4577,31.397,-1.24276571477381,4.3348
16.373,7.7937,5.9441,24.997,-0.782698997228982,5.49653333333333
21.438,4.1721,3.2701,25.808,-0.823194344980266,5.34466666666667
12.739,7.504,5.3023,27.21,-0.909929439579065,4.91733333333333
16.68,7.7833,6.0819,23.49,-0.731289888439702,5.54893333333333
20.871,7.5713,4.1271,25.124,-0.763871316010536,5.7908
